Head,Name,Manufacturer,Model,Mode,Universe,Address,X Pos(MagicQ),Y Pos(MagicQ),Z Pos(MagicQ),X Rot(MagicQ),Y Rot(MagicQ),Z Rot(MagicQ),X Pos(Unity),Y Pos(Unity),Z Pos(Unity),X Rot(Unity),Y Rot(Unity),Z Rot(Unity)
691,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.75m,8.74m,-1.62m,-179.98°,90°,0°,-0.752,8.743,1.617,270.02,270,0
743,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.49m,8.74m,-1.62m,-179.98°,90°,0°,-0.492,8.743,1.617,270.02,270,0
795,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.53m,8.74m,-1.62m,-179.98°,90°,0°,0.533,8.743,1.617,270.02,270,0
847,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.8m,8.74m,-1.62m,-179.98°,90°,0°,0.8,8.743,1.617,270.02,270,0
899,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,1.06m,8.74m,-1.62m,-179.98°,90°,0°,1.06,8.743,1.617,270.02,270,0
951,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.12m,8.74m,-1.62m,-179.98°,90°,0°,2.119,8.743,1.617,270.02,270,0
1003,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.39m,8.74m,-1.62m,-179.98°,90°,0°,2.386,8.743,1.617,270.02,270,0
1055,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.65m,8.74m,-1.62m,-179.98°,90°,0°,2.646,8.743,1.617,270.02,270,0
1107,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.56m,8.74m,-1.62m,-179.98°,90°,0°,3.56,8.743,1.617,270.02,270,0
1159,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.83m,8.74m,-1.62m,-179.98°,90°,0°,3.827,8.743,1.617,270.02,270,0
1211,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,4.09m,8.74m,-1.62m,-179.98°,90°,0°,4.087,8.743,1.617,270.02,270,0
1263,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.15m,8.74m,-1.62m,-179.98°,90°,0°,5.153,8.743,1.617,270.02,270,0
1315,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.42m,8.74m,-1.62m,-179.98°,90°,0°,5.42,8.743,1.617,270.02,270,0
1367,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.68m,8.74m,-1.62m,-179.98°,90°,0°,5.68,8.743,1.617,270.02,270,0
1419,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.67m,8.74m,-1.62m,-179.98°,90°,0°,6.668,8.743,1.617,270.02,270,0
1471,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.94m,8.74m,-1.62m,-179.98°,90°,0°,6.935,8.743,1.617,270.02,270,0
